,Şehir,İlçe,Geçerli oy sayısı,Oy kullanan seçmen sayısı,Kayıtlı seçmen sayısı,Sandık sayısı ,AK PARTİ,MHP,CHP,İYİ PARTİ,HDP,SAADET PARTİSİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,VATAN PARTİSİ,HÜDA PAR,BĞMZ
17,Aydın,Nazilli,99452.0,102033.0,114227.0,346.0,33453.0,8663.0,29881.0,17554.0,7244.0,897.0,775.0,341.0,369.0,275.0,0.0
21,Aydın,Sultanhisar,13692.0,14071.0,15486.0,53.0,4678.0,1100.0,4256.0,2359.0,1009.0,75.0,93.0,44.0,42.0,36.0,0.0
19,Aydın,Söke,77299.0,78860.0,89117.0,275.0,21089.0,5675.0,27732.0,11053.0,10181.0,443.0,488.0,205.0,268.0,165.0,0.0
23,Aydın,Yenipazar,8984.0,9276.0,10084.0,40.0,3823.0,582.0,2710.0,1543.0,126.0,60.0,61.0,23.0,30.0,26.0,0.0
5,Aydın,Çine,34987.0,36344.0,40019.0,155.0,13513.0,2196.0,12340.0,5222.0,724.0,312.0,214.0,122.0,174.0,170.0,0.0
27,Aydın,İncirliova,30209.0,30938.0,36199.0,109.0,11065.0,3094.0,9403.0,3785.0,2197.0,220.0,247.0,66.0,83.0,49.0,0.0
4,Ağrı,Ağrı Merkez,64316.0,66580.0,84420.0,279.0,26100.0,1833.0,1496.0,1485.0,31030.0,760.0,364.0,52.0,96.0,873.0,227.0
7,Ağrı,Diyadin,16785.0,17512.0,22903.0,99.0,3101.0,189.0,403.0,202.0,12582.0,140.0,36.0,13.0,45.0,69.0,5.0
10,Ağrı,Doğubayazıt,49337.0,51296.0,66626.0,224.0,7060.0,595.0,1049.0,499.0,39245.0,209.0,88.0,30.0,90.0,453.0,19.0
13,Ağrı,Eleşkirt,14678.0,15241.0,20010.0,91.0,7827.0,444.0,268.0,253.0,5420.0,272.0,60.0,13.0,28.0,88.0,5.0
16,Ağrı,Hamur,7371.0,7622.0,9613.0,50.0,2835.0,74.0,232.0,115.0,3953.0,67.0,19.0,2.0,18.0,43.0,13.0
19,Ağrı,Patnos,49695.0,51244.0,63387.0,228.0,9761.0,735.0,1559.0,446.0,36608.0,247.0,98.0,25.0,79.0,129.0,8.0
22,Ağrı,Taşlıçay,8749.0,9102.0,11331.0,49.0,1866.0,525.0,172.0,221.0,5782.0,55.0,59.0,6.0,15.0,43.0,5.0
25,Ağrı,Tutak,13336.0,13748.0,17185.0,87.0,3734.0,776.0,242.0,280.0,8063.0,63.0,97.0,12.0,31.0,33.0,5.0
39,Balıkesir,Altıeylül,116027.0,118368.0,130512.0,409.0,52873.0,10263.0,28275.0,18521.0,2882.0,1298.0,1095.0,357.0,282.0,152.0,29.0
3,Balıkesir,Ayvalık,51632.0,52619.0,58848.0,176.0,11195.0,3581.0,24274.0,7121.0,4482.0,256.0,262.0,196.0,194.0,59.0,12.0
5,Balıkesir,Balya,10036.0,10497.0,11265.0,58.0,4178.0,870.0,3068.0,1361.0,221.0,115.0,59.0,23.0,90.0,42.0,9.0
7,Balıkesir,Bandırma,101446.0,103123.0,114498.0,340.0,33692.0,6914.0,36391.0,16802.0,4838.0,1227.0,730.0,431.0,235.0,150.0,36.0
